Sample_Date,Site_Type,Cave_Name,Cave_Sect_No,Rock  #,Pic #,Eggs_P/AB ,Fish_P/AB,Fish_L/W,1_Water_depth,2_Water_depth,3_Water_depth,Avg_depth,Water_ velocity (m/s),Sect_Dry_width (cm),Sect_Wet_width (cm),Rock_height_1,Rock_height_2,Rock_height_3,Rock_height_4,"Rock_underside_Concave, Flat, Convex",Rock_Yole_Y/N,Substrate_under_rock,Substrate_around_ rock,Substrate_depth  (cm),C,DO,T,pH,Left_Slope,Right_Slope,Additional_Notes
1/26/2017,Random,Mystery,127,R43,MY50,AB,AB,,13,19,17.5,16.5,0.08,147,196,3,7,1,6,Flat,N,Silt,Pebble,26.4,543,9.91,10.33333333,8.47,110,90,Small rock in middle of stream
2/16/2017,Random,Tom Moore,87,R1,,AB,AB,,11,7,14,10.66666667,0.05,390,327,8,5,5,4,Flat,N,Silt,Cobble,0.9,621,10.03,13.93,8.5,45,45,Large rock in middle of stream
2/16/2017,Random,Tom Moore,86,R2,,AB,AB,,7,6,4,5.666666667,0.17,380,140,8,4,3,5,Flat,N,Mud,Silt,1.2,621,10.03,13.93,8.5,45,55,Small rock in middle of stream
2/16/2017,Random,Tom Moore,117,R4,,AB,P,49mm/ 1.1g,2,5,6,4.333333333,0.05,530,310,0.5,0.5,0.6,1,Flat,N,Cobble,Cobble,1.8,652,9.74,13.65,8.26,19,25,Small rock in middle of stream
2/16/2017,Random,Tom Moore,135,R5,,AB,AB,,7.5,11,6.5,8.333333333,0.08,450,280,1,3,2,1,Flat,N,Mud,Cobble,2.1,655,9.85,13.97,8.14,18,32,Small rock in middle of stream
2/16/2017,Random,Tom Moore,134,R6,,AB,AB,,6,17,8,10.33333333,0.05,480,290,8,5.5,4,5,Flat,N,Bedrock,Silt,3.2,655,9.85,13.97,8.14,11,35,Small rock in middle of stream
2/22/2017,Random,Mystery,RF0,R45,MY53,AB,AB,,2,32,2,12,0.02,500,145,6,9.5,3,3,Flat,N,Bedrock,Silt,0.5,618,7.92,13.57,7.71,5,20,Small rock along bank
2/22/2017,Random,Mystery,RF0,R46,MY54,AB,AB,,2,1.5,1.5,1.666666667,0.02,500,145,12,10,13,12,Flat,N,Bedrock,Silt,0.5,618,7.92,13.57,7.71,5,20,Small rock along bank
2/22/2017,Random,Mystery,32,R47,MY55,AB,AB,,12,19,13,14.66666667,0.08,385,230,2,3,2,1,Flat,N,Cobble,Pebble,0.9,647,6.41,12.93,7.9,20,20,Small rock in middle of stream
2/22/2017,Random,Mystery,32,R48,MY56,AB,AB,,6.6,6.5,4.5,5.866666667,0.08,385,230,1,1.5,1,0.5,Flat,N,Cobble,Pebble,1,647,6.41,12.93,7.9,20,20,Small rock in middle of stream
